Alley,ALY,aly,aly.,,,
Annex,ANX,anx,anx.,,,
Arcade,ARC,arc,arc.,,,
Avenue,AVE,ave,ave.,,,
Bayou,YU,yu,yu.,,,
Beach,BCH,bch,bch.,Bch,,
Bend,BND,bnd,bnd.,Bnd,,
Bluff,BLF,blf,blf.,Blff,,
Bottom,BTM,btm,btm.,Bttm,,
Boulevard,BLVD,blvd,blvd.,Blvrd,,
Branch,BR,br,br.,Brnch,,
Bridge,BRG,brg,brg.,Brdg,,
Brook,BRK,brk,brk.,,,
Burg,BG,bg,bg.,Brg,,
Bypass,BYP,byp,byp.,,,
Camp,CP,cp,cp.,Cmp,,
Canyon,CYN,cyn,cyn.,Cnyn,,
Cape,CPE,cpe,cpe.,cap,,
Causeway,CSWY,cswy,cswy.,Cswy,,
Center,CTR,ctr,ctr.,Cntr,,
Circle,CIR,cir,cir.,Crcl,circ,
Cliffs,CLFS,clfs,clfs.,Clffs,clf,
Club,CLB,clb,clb.,,,
Corner,COR,cor,cor.,Crnr,,
Corners,CORS,cors,cors.,Crnrs,,
Course,CRSE,crse,crse.,Crs,,
Court,CT,ct,ct.,Crt,,
Courts,CTS,cts,cts.,Crts,,
Cove,CV,cv,cv.,,,
Creek,CRK,crk,crk.,,,
Crescent,CRES,cres,cres.,Crscnt,cresc,cresc.
Crossing,XING,xing,xing.,Crssng,,
Dale,DL,dl,dl.,,,
Dam,DM,dm,dm.,Dm,,
Divide,DV,dv,dv.,Dvd,div,
Drive,DR,dr,dr.,Drv,,
Estates,EST,est,est.,estate,,
Expressway,EXPY,expy,expy.,xprsswy,,
Extension,EXT,ext,ext.,ex,,
Fall,FALL,fall,fall.,,,
Falls,FLS,fls,fls.,Flls,,
Ferry,FRY,fry,fry.,,,
Field,FLD,fld,fld.,Fld,,
Fields,FLDS,flds,flds.,Flds,,
Flats,FLT,flt,flt.,Flts,,
Ford,FOR,for,for.,Frd,,
Forest,FRST,frst,frst.,for,,
Forge,FGR,fgr,fgr.,Frg,,
Fork,FORK,fork,fork.,Frk,,
Forks,FRKS,frks,frks.,Frks,,
Fort,FT,ft,ft.,Frt,,
Freeway,FWY,fwy,fwy.,Frw,,
Gardens,GDNS,gdns,gdns.,Grdns,,
Gateway,GTWY,gtwy,gtwy.,Gtw,,
Glen,GLN,gln,gln.,Gln,,
Green,GN,gn,gn.,Grn,,
Grove,GRV,grv,grv.,Grv,,
Harbor,HBR,hbr,hbr.,Hrbr,harb,
Haven,HVN,hvn,hvn.,Hvn,,
Heights,HTS,hts,hts.,Hghts,,
Highway,HWY,hwy,hwy.,Hghw,hywy,
Hill,HL,hl,hl.,Hll,,
Hills,HLS,hls,hls.,Hlls,,
Hollow,HOLW,holw,holw.,holl,,
Inlet,INLT,inlt,inlt.,,,
Island,IS,is,is.,isle,,
Islands,ISS,iss,iss.,,,
Isle,ISLE,isle,isle.,sl,,
Junction,JCT,jct,jct.,Jnctn,junct,
Key,CY,cy,cy.,,,
Knolls,KNLS,knls,knls.,kn,,
Lake,LK,lk,lk.,,,
Lakes,LKS,lks,lks.,Lks,,
Landing,LNDG,lndg,lndg.,Lndng,,
Lane,LN,ln,ln.,Ln,,
Light,LGT,lgt,lgt.,Lght,,
Loaf,LF,lf,lf.,,,
Locks,LCKS,lcks,lcks.,,,
Lodge,LDG,ldg,ldg.,Ldg,,
Loop,LOOP,loop,loop.,Lp,,
Mall,MALL,mall,mall.,Mll,,
Manor,MNR,mnr,mnr.,Mnr,,
Meadows,MDWS,mdws,mdws.,mead.,,
Mill,ML,ml,ml.,mll,,
Mills,MLS,mls,mls.,Mlls,,
Mission,MSN,msn,msn.,miss.,,
Mount,MT,mt,mt.,Mnt,mnt.,
Mountain,MTN,mtn,mtn.,Mntn,mount,
Neck,NCK,nck,nck.,Nck,,
Orchard,ORCH,orch,orch.,,,
Oval,OVAL,oval,oval.,,,
Park,PARK,park,park.,Prk,,
Parkway,PKY,pky,pky.,Prkw,,
Pass,PASS,pass,pass.,Pss,,
Path,PATH,path,path.,Pth,,
Pike,PIKE,pike,pike.,Pk,,
Pines,PNES,pnes,pnes.,Pns,,
Place,PL,pl,pl.,Plc,,
Plain,PLN,pln,pln.,,,
Plains,PLNS,plns,plns.,,,
Plaza,PLZ,plz,plz.,,,
Point,PT,pt,pt.,Pnt,,
Port,PRT,prt,prt.,,,
Prairie,PR,pr,pr.,,,
Radial,RADL,radl,radl.,Rdl,,
Ranch,RNCH,rnch,rnch.,ra,,
Rapids,RPDS,rpds,rpds.,rap.,,
Rest,RST,rst,rst.,,,
Ridge,RDG,rdg,rdg.,,,
River,RIV,riv,riv.,Rvr,,
Road,RD,rd,rd.,,,
Row,ROW,row,row.,Rw,,
Run,RUN,run,run.,Rn,,
Shoal,SHL,shl,shl.,,,
Shoals,SHLS,shls,shls.,Shls,,
Shore,SHR,shr,shr.,,,
Shores,SHRS,shrs,shrs.,Shrs,,
Spring,SPG,spg,spg.,Sprng,,
Springs,SPGS,spgs,spgs.,Sprngs,,
Spur,SPUR,spur,spur.,Spr,,
Square,SQ,sq,sq.,Sqr,,
Station,STA,sta,sta.,Sttn,,
Stravenues,STRA,stra,stra.,Strvns,,
Stream,STRM,strm,strm.,,,
Street,ST,st,st.,Str,,
Summit,SMT,smt,smt.,Smmt,,
Terrace,TER,ter,ter.,terr,,
Trace,TRCE,trce,trce.,Trc,,
Track,TRAK,trak,trak.,Trck,,
Trail,TRL,trl,trl.,,,
Trailer,TRLR,trlr,trlr.,,,
Tunnel,TUNL,tunl,tunl.,,,
Turnpike,TPKE,tpke,tpke.,Trnpk,,
Union,UN,un,un.,nn,,
Valley,VLY,vly,vly.,Vll,,
Viaduct,VIA,via,via.,Vdct,,
View,VW,vw,vw.,,,
Village,VLG,vlg,vlg.,Vllg,,
Ville,VL,vl,vl.,Vll,,
Vista,VIS,vis,vis.,Vst,,
Walk,WALK,walk,walk.,Wlk,,
Way,WAY,way,way.,wy,,
Wells,WLS,wls,wls.,Wlls,,